record_id,company_id,date,revenue,expenses,profit,operating_cost,assets,liabilities,profit_margin,operating_ratio,expense_ratio,return_on_assets,revenue_growth,company_name,sector,country
1,1,2019-01-01,5057.37,2820.27,2237.1,1719.99,44380.83,19747.66,0.4423,0.3401,0.5577,0.0504,,AlphaBank Corp,Banking,UK
2,1,2019-04-01,5344.19,2861.37,2482.82,1821.6,45407.92,24215.66,0.4646,0.3409,0.5354,0.0547,0.0567,AlphaBank Corp,Banking,UK
3,1,2019-07-01,5364.2,2893.99,2470.21,1644.77,45094.11,22725.68,0.4605,0.3066,0.5395,0.0548,0.0037,AlphaBank Corp,Banking,UK
4,1,2019-10-01,5156.33,2824.4,2331.93,1635.68,45879.36,20293.31,0.4522,0.3172,0.5478,0.0508,-0.0388,AlphaBank Corp,Banking,UK
5,1,2020-01-01,4180.39,2338.56,1841.84,1332.9,45926.13,23642.15,0.4406,0.3188,0.5594,0.0401,-0.1893,AlphaBank Corp,Banking,UK
6,1,2020-04-01,3411.01,1888.16,1522.85,1070.69,45322.52,25916.4,0.4465,0.3139,0.5535,0.0336,-0.184,AlphaBank Corp,Banking,UK
7,1,2020-07-01,3420.2,1901.9,1518.3,1129.76,45649.26,22789.4,0.4439,0.3303,0.5561,0.0333,0.0027,AlphaBank Corp,Banking,UK
8,1,2020-10-01,3265.98,1746.11,1519.87,1119.13,46125.61,24262.23,0.4654,0.3427,0.5346,0.033,-0.0451,AlphaBank Corp,Banking,UK
9,1,2021-01-01,3295.93,1817.84,1478.09,1033.42,47679.06,25938.42,0.4485,0.3135,0.5515,0.031,0.0092,AlphaBank Corp,Banking,UK
10,1,2021-04-01,3432.43,1937.62,1494.81,1239.07,47209.15,26791.19,0.4355,0.361,0.5645,0.0317,0.0414,AlphaBank Corp,Banking,UK
11,1,2021-07-01,3454.99,1887.55,1567.44,1089.37,47871.31,22838.47,0.4537,0.3153,0.5463,0.0327,0.0066,AlphaBank Corp,Banking,UK
12,1,2021-10-01,3298.95,1790.58,1508.38,1081.99,46793.12,25659.08,0.4572,0.328,0.5428,0.0322,-0.0452,AlphaBank Corp,Banking,UK
13,1,2022-01-01,3305.83,1764.26,1541.57,1114.21,48094.68,25809.59,0.4663,0.337,0.5337,0.0321,0.0021,AlphaBank Corp,Banking,UK
14,1,2022-04-01,3514.14,1964.24,1549.91,1094.87,47653.68,20898.0,0.441,0.3116,0.559,0.0325,0.063,AlphaBank Corp,Banking,UK
15,1,2022-07-01,3549.81,1932.59,1617.22,1075.21,47785.95,22556.37,0.4556,0.3029,0.5444,0.0338,0.0102,AlphaBank Corp,Banking,UK
16,1,2022-10-01,3423.93,1909.11,1514.83,1171.72,49124.26,24343.74,0.4424,0.3422,0.5576,0.0308,-0.0355,AlphaBank Corp,Banking,UK
17,1,2023-01-01,3459.52,1932.51,1527.01,1171.35,49126.76,24514.61,0.4414,0.3386,0.5586,0.0311,0.0104,AlphaBank Corp,Banking,UK
18,1,2023-04-01,3640.99,2005.28,1635.71,1188.64,47898.14,20944.07,0.4492,0.3265,0.5508,0.0341,0.0525,AlphaBank Corp,Banking,UK
19,1,2023-07-01,3670.83,1996.47,1674.36,1199.59,49849.65,22925.19,0.4561,0.3268,0.5439,0.0336,0.0082,AlphaBank Corp,Banking,UK
20,1,2023-10-01,3505.1,1917.44,1587.66,1199.47,48740.46,21071.32,0.453,0.3422,0.547,0.0326,-0.0451,AlphaBank Corp,Banking,UK
21,1,2024-01-01,3508.72,1979.55,1529.17,1248.72,49764.14,27839.74,0.4358,0.3559,0.5642,0.0307,0.001,AlphaBank Corp,Banking,UK
22,1,2024-04-01,3697.0,2070.4,1626.6,1177.35,50505.8,25570.82,0.44,0.3185,0.56,0.0322,0.0537,AlphaBank Corp,Banking,UK
23,1,2024-07-01,3703.96,2003.93,1700.04,1187.75,50585.39,28212.33,0.459,0.3207,0.541,0.0336,0.0019,AlphaBank Corp,Banking,UK
24,1,2024-10-01,3535.93,1887.23,1648.7,1134.37,50009.24,22781.07,0.4663,0.3208,0.5337,0.033,-0.0454,AlphaBank Corp,Banking,UK
